description	level_1
!-不二家 麵包超人蔬果四連餅	零食點心
回-@仙草凍鮮奶冬瓜	生鮮冷藏
可調式伸縮鞋架鞋櫃	傢俱寢飾
生日豬腳麵線	食品雜貨
1枝筆+1張紙，說服各種人：最強圖解溝通術，學會4種符號，職場、生活、人際關係，4圖1式就搞定!	書籍
舒適棉質束口運動褲(天空藍-L)	服飾與配件精品
Love Code 戀愛密碼深層水感保濕水凝乳80ml	美容沐浴
養生素食	食品雜貨
ANGSKORN mattr protector 80x200 AP	3C電子/配件
可坐可躺+帶按摩+360轉+調高度 舒適皮革 電腦椅老闆椅辦公椅遊戲椅按摩椅午休椅皮椅	戶外休閒
S新鑄鐵鍋造型310ml容器-紅8*1	鍋具.廚具.濾水
高尾播州麵物語素	泡麵罐頭
E060004375LIVING&DESIGN 住宅美學 2019年必看！室內裝修實用500秘招 (電子雜誌)	書籍
光泉300蘋果汁	飲料沖泡
代收款旅遊	戶外休閒
時尚氣質/繽紛可	傢俱寢飾
亞里士茶樹除蚤洗毛精500ml	居家清潔
小鍋-酸菜白肉	冷凍食品
888發財麵線 600g/包[600g/包]	食品雜貨
小松樹	季節飾品
維齊蒸爽機腿犬餐罐-心血管保健80g	寵物
男裝梭織上衣:OPTIC WHITE:L	服飾與配件精品
農心 辛拉麵 120g 2021-06-02 o4ti-33bf	泡麵罐頭
歐樂B兒童迪士尼   牙刷57歲	美容沐浴
紫皮栗香地瓜	餐飲消費
--五花牛 (小)	餐飲消費
9135黑-	3C電子/配件
烘焙客 熟齡犬 野放雞配方 原顆粒 小顆粒 老犬 高齡犬【特價】	寵物
【優貝選】便攜式卡通印花 寶寶隔尿墊 透氣防水墊 生理期產褥墊 老人護理保潔墊	嬰幼兒與孕婦
I-984 ISTA三分濾網頭2pcs	其他消費
【Nutrience 紐崔斯】SUBZERO黑鑽頂極無穀貓糧營養凍乾（火雞肉+雞肉+鮭魚）2.27kg（2包組	其他消費
鄉春玉米濃湯金黃脆薯餅390g	泡麵罐頭
語言諮詢服務費	書籍
貓咪透氣小吊床 小吊床 貓咪吊床 貓窩 貓小憩 貓舒壓 寵物吊床 寵物舒壓 貓掛床	傢俱寢飾
大樂透更換贈品費用-1	其他消費
UC-PD18W石墨黑	3C電子/配件
甘蔗蒼壽	其他消費
Panasonic國際牌 12KG 變頻滾筒洗脫洗衣機(晶漾銀)NA-V120HW-G -庫-網	大型家電/視聽影音
TIGER虎牌 360cc夢重力超輕量彈蓋式保冷保溫杯(MMJ-A361-WM)奶油白色	生活百貨
foodpanda F餐 2021-09-08 r20u-050j	餐飲消費
15元開明墨汁	生活百貨
寶寶米餅(蘋果) 7M+	其他消費
三洋讚岐烏龍麵3	冷凍食品
MC-003-BV Q比超輕粘土20g 藍紫色 利百代	生活百貨
晚餐服務	餐飲消費
10ml透明滾珠瓶	其他消費
代收代付 - 情趣用品 自慰套 拓也哥也投降 爆射進化4D究極奧秘 小名器自慰器(非貫通) NO.4	其他消費
3入歐式香腸小可頌	生鮮冷藏
代收代付 - 充滿祕密的魔石館2：翡翠之家的詛咒	其他消費
500-綺芙莉彩色月拋隱形眼鏡1片裝千代田棕	美容沐浴
台灣雞腿套餐	餐飲消費
【JW】雙人自動傘 晴雨兩用 自動開合 防風 防潑水 遮陽傘 防曬 超大傘面 一鍵開收 情侶傘 雨傘 折傘 摺疊傘	其他消費
Aljoma伊比利豬胛心肉片	冷凍食品
代收代付 - 卡詩曼 可折疊桌面手機平板支架 懶人支架 可升降摺疊收納 iPad平板電腦支架 手機通	3C電子/配件
味王香菇肉羹(包)*30入	泡麵罐頭
葉黃素90	食品雜貨
大茂大土豆麵筋1	泡麵罐頭
U 決明子紅烏龍+奶蓋慕思	飲料沖泡
桃夭	餐飲消費
冰鐵觀音烏龍拿鐵 16oz	飲料沖泡
摩爾紅	菸/酒
【連城記】地瓜酥原味 140g/包	零食點心
珠友2021 A5月計劃收支+筆記	生活百貨
西門子水腊(綠) 加	交通
海倫new洗髮精-潔淨	美容沐浴
Miss Molly’s School of Kindnes	戶外休閒
▌智利鮭魚切片 300g ▌ 2021-07-17 ec4p-jxnz	泡麵罐頭
澎澎香浴乳(補)清爽型	美容沐浴
康軒國中測驗卷國文1下	書籍
優惠卡	餐飲消費
舒潔 萬用輕巧包抽取衛生紙(110抽x10包x10串/箱)	居家清潔
麻辣鴨血雞煲鍋	生鮮冷藏
飛柔檸檬均衡滋潤洗髮乳 1000ml	美容沐浴
LOUISE TILER生日卡/ Balloon and C	生活百貨
高型蒸架-中	鍋具.廚具.濾水
44251034 極暖羽絨長版外套-男 (黑色 - XL)	服飾與配件精品
素顏霜 正品授權 台灣 現貨 萊蔻素顏霜  保濕 提亮 正品授權  素顏霜 50g 現貨 懶人霜	美容沐浴
【分批取】Biore淨嫩沐浴乳水采保濕型-浪漫櫻花香1000g	美容沐浴
傑克丹尼Single Barrel單桶田納西威士忌700ml	菸/酒
好笑華娟撞見維也納咖啡	零食點心
925銀金色兩用交叉耳針式耳環（現貨）4143	其他消費
8元星星糖罐	零食點心
6入可愛超神祈福紅包袋(大)	生活百貨
酒食揚物	菸/酒
IPhone11 Pro Max四角強化高清雙料-透明	傢俱寢飾
HA-001 Marvel Tsum Tsum系列 合金公仔 美國隊長款	戶外休閒
NT888RD 紅色 可載重多功能桶~月光寶盒 $350	戶外休閒
加嵐奶壺200ML	生活百貨
甜酷日常貼紙包-宇宙泡沫	生活百貨
3M封箱膠帶48mm 3036-6 2021-09-13 l4hr-iwnp	生活百貨
R錫蘭紅茶-大熱	飲料沖泡
15元SKB中性筆-藍 G-158(0.4)	生活百貨
『 la belle 』77直播優惠組 - 降火金銀花茶 （5袋50包）	其他消費
慕赫16年單一純麥威士忌750ml	菸/酒
元氣麵包	生鮮冷藏
維他盒子Vitabox 舊品出清專區	鍋具.廚具.濾水
烤肉豬排壓吐司	餐飲消費
*特級手扒雞手套100入(50雙/包)	戶外休閒
舒活茶	飲料沖泡
日日有勁版雙馬卡＋鋅	食品雜貨
飯勺底座 收納 電鍋 飯鍋 側壁 勺子 叉子 餐具 廚房 小麥 飯匙 飯勺吸盤底座  米菈生活館 【Q291】	鍋具.廚具.濾水
國中翰林試題寶典地理一下（109學年）	書籍
三眼怪手帕	其他消費
Milani 繽紛果漾長效持久定妝噴霧 130 Kiwi Watermelo	美容沐浴
750004 挪威鮭魚5-6	生鮮冷藏
霧袋3斤190g	生活百貨
鎖匙海關皮箱鎖 (附指示窗變色)	戶外休閒
平行時空 純銀項鍊	戶外休閒
2枚刃2倍快速削筆器/黑 KUTSUWA:RS021BK	生活百貨
【CSD中衛】雙鋼印醫療口罩-玩色系列(黑+軍綠)1盒入(30片/盒)-網	居家清潔
常春藤解析英語 (書+音檔雲端版/6月)	書籍
AIR SPACE LADY 休閒連帽針織上衣褲套裝(卡其)-卡其色系L	服飾與配件精品
高級信封-50入	生活百貨
高夠力-角蛙飼料40g（日）	寵物
900F麥克筆 黑 利百代	生活百貨
(宅)老彭友秘制辣掌10入	泡麵罐頭
高品質飼料 3合1 280g 中粒	寵物
新東陽(海苔)肉鬆210g	泡麵罐頭
加寬版單人旅行隔髒睡袋 便攜保潔衛生睡袋 帶枕頭套成人睡袋內膽 出差旅遊飯店旅館戶外登山露營	戶外休閒
五格 收納盒 儲物盒 分類盒 可疊加 塑料 貼身衣物 襪子盒 五格收納盒 Color me【L101】	生活百貨
【車的背包】加大版超細纖維強力吸水擦車巾(60X160公分加厚磨絨款擦拭巾)	交通
aibo AB20 方塊甜心ATM晶片讀卡機-桃紅	3C電子/配件
爽口青花菜	餐飲消費
雞腿排併伊比利豬排	餐飲消費
深坑產銷班包種茶	飲料沖泡
SUNOA抽取式衛生紙	居家清潔
【brother】TZe-FA53 燙印布質標籤帶  12mm  粉藍布藍字	3C電子/配件
花仙子晨露香氛袋	居家清潔
4710405091003日本Toffy 復古風電動刨冰機 K-IS5馬卡龍綠	小家電專區
緊緻美顏超值限搶組	美容沐浴
開幕-剝皮99	其他消費
勝蒜在握黑蒜頭180g	食品雜貨
牛奶麵	泡麵罐頭
AGF森和咖啡Black 14g	飲料沖泡
黑糖拿鐵(中)	餐飲消費
統一純喫茶-綠茶 650ml 2021-04-14 r8gm-24tr	生鮮冷藏
外-花魚一夜干	生鮮冷藏
皇冠MCT椰子油能量油	食品雜貨
L蜜香紅鮮奶茶	餐飲消費
1.50華麗糖芯日拋隱形眼鏡10片甜心馬卡龍	美容沐浴
Notorious 21 S/S 閃電緹花大浴巾	傢俱寢飾
9200T17彎形刮平刀8吋	其他消費
佩拉琪-巧克力	零食點心
給妳+8cm!!!超高腰雙釦短褲*2色	服飾與配件精品
慎康	食品雜貨
冰 淺中 哥倫比亞	餐飲消費
【HITACHI 日立】14公升清淨型除濕機(RD-280HH)	大型家電/視聽影音
身心休假中-精油三件組	美容沐浴
!B-Chicco-多功能長牙舒緩凝膠30ML	3C電子/配件
代收代付-雙面法蘭絨羊羔絨暖暖冬被 - 艾莉森	傢俱寢飾
E003434  V9  M	生活百貨
樂彩-手握式蠟筆粉彩6色組(內附著色紙)	生活百貨
【仟晉資訊】辦公室專業客服耳機麥克風配件 小麥克風海綿 小麥克風套 耳麥海綿套  耳機麥克風套 迷你麥克風套	3C電子/配件
隔熱餐墊(圓形)-雲朵款灰藍	鍋具.廚具.濾水
三能 304不銹鋼杯-200ml	生活百貨
好奇裸感紙尿褲 NB32片[32片/包]	嬰幼兒與孕婦
湯種牛奶吐司	生鮮冷藏
飛柔熱油滋潤洗髮乳1000+200ml	美容沐浴
【PLAYBOY】L拉長夾 質感新生活系列(黑色)	生活百貨
代收代付 - 新蕊娜制汗爽身噴霧150ml-清新舒棉	美容沐浴
威傑士SC7頭皮滋養液150ml	美容沐浴
吸震墊/小8入	傢俱寢飾
687647@鹽麴烤大棒腿/支(A)	零食點心
第一石鹼~浴室清潔噴霧泡-400ML	居家清潔
22.米血糕	生鮮冷藏
Lifetime upgrade guarantee	生活百貨
便-咔啦雞腿飯	餐飲消費
手切霜降牛5盎司142g	美容沐浴
金閣寺（二版）	生活百貨
410白鐵ㄇ型釘(1400支/盒)	生活百貨
盛香珍 咖啡捲	零食點心
弘隆刀削麵	生鮮冷藏
425晶碩彩色日拋樂森林系列10片裝優雅鸚鵡-灰	其他消費
雲絲頓低淡菸20N	菸/酒
【新品現貨】VIENICO靈動系列NO.21純手工自然裸妝 電眼日常款 假睫毛	其他消費
南靖雞	餐飲消費
賣店收入-鳥巢	餐飲消費
神奇畫毯水筆加購區/單售水筆	生活百貨
3683-115公分廢廢熊雙邊尺(黑)	生活百貨
大甲乾麵喜悅滿麵粗	泡麵罐頭
豉油雞煎蛋飯	餐飲消費
█紅醬燉飯(炸豬排)	泡麵罐頭
來一客-鮮蝦魚板 63g 3入 2021-07-04 bbc7-znz9	泡麵罐頭
不鏽鋼刷	小家電專區
蜂蜜黑芝麻醬_有幾園	食品雜貨
7絲真空壓縮袋	傢俱寢飾
香蒜青醬法國麵包	其他消費
雅方紅燒(原味)羊肉爐	冷凍食品
【送原廠濾網】dyson Pure Cool Cryptomic TP06 智慧 涼風 空氣清淨機(黑銅色)	大型家電/視聽影音
客家紅燒肉	生鮮冷藏
魔王難為Ⅳ(1)	其他消費
密閉式防蟑地板排水口蓋	生活百貨
痞食雞米花	餐飲消費
金目鱸魚菲力	生鮮冷藏
BUFFALO女長褲	服飾與配件精品
微笑蘋果	餐飲消費
9A79	生活百貨
線BG-XB63黑	3C電子/配件
【KILNER】扣式玻璃飲料瓶禮盒(二入 0.25L)	鍋具.廚具.濾水
檸檬沙瓦D(中)	零食點心
法寶透明香皂-艾草抹草60g  /12p	美容沐浴
COACH MAY金字C LOGO牛皮磁吸式肩背斜背包(午夜藍)	戶外休閒
文盲青少年	餐飲消費
袋裝補運錢金紙40支/箱	生活百貨
文創商品	生活百貨
玉米濃湯風味餅(60g/包)[大買家]	泡麵罐頭
鐵板菲力	餐飲消費
民法物權(圖說)	書籍
OFC HDMI線2.0版2米	食品雜貨
HOUSE 台灣製 雅典娜透明下掀式整理箱 39L_6入	生活百貨
葉門戰爭：地域、宗教、極端組織之間，以及美國與蓋達組織的對立，造成這場無法結束的戰爭	書籍
沛綠雅礦泉水330ml	飲料沖泡
PUMA中童鬆緊帶慢跑鞋(Smash v2 Cndy V Inf	服飾與配件精品
300 慕│微美瞳彩色日拋隱形眼鏡10片裝-經典黑1號	美容沐浴
Dyson V10 SV12 fluffy 無線手持吸塵器/除螨器 福利品一年保	小家電專區
冰牧場牛奶	餐飲消費
祭)五凜純米大(杯)	其他消費
雪樂水蜜桃淡麗調	菸/酒
奶瓶蔬果清潔液/瓶	嬰幼兒與孕婦
元宏金彩櫻花紅色6元	生活百貨
46741021 牛津短袖襯衫-女 (白色 - S)	服飾與配件精品
30*5mm強力磁鐵	生活百貨
套餐-勁辣鷄腿堡 Spicy Chicken Filet Burger Meal 2021-05-25 t6pt-bffq	餐飲消費
西北水晶餃--原味	冷凍食品
P1204  女棉褲	服飾與配件精品
海陸牛奶王大	餐飲消費
【金石工坊】五福臨門千萬兩寶車撲滿�高20CM 金運招財貓	其他消費
FOR媚II美肌濾鏡飾底乳_粉	美容沐浴
802395@集水盤30	鍋具.廚具.濾水
+鴨腿$100	餐飲消費
【J-bedtime】文青風AB版吸濕排汗舖棉四季涼被-5X6尺(北極森林)	傢俱寢飾
去味大師SPA氣氛罐-浪漫巴黎	居家清潔
代收代付 - 晾衣架落地折疊臥室內伸縮晾衣桿簡易涼掛衣雙桿式【奇妙商鋪】	傢俱寢飾
F寄-69元商品	生活百貨
牛年賀吉享體適能2/13-16	其他消費
托喀巧克力風味夾心餅	零食點心
美國牛條肉	生鮮冷藏
月租停車費-日	交通
岡本0.03紫10 s	生活百貨
代收代付 - 【JIS】LJ005 狗狗嘴套 寵物外出防咬傷人 寵物口罩 防亂吃亂咬 猛犬嘴套 防掙	寵物
汪旺行星 透明散裝	季節飾品
男童針織服裝:ADMIRAL BLUE:18-24M	嬰幼兒與孕婦
3公斤木碳(紙包)(8件)	戶外休閒
Shester55-排釦斜紋短裙(四色)-女【B2SH009】-黑M	服飾與配件精品
美進口棒腿(凍)	生鮮冷藏
海洋樂園9*22mm彩色姓名貼	生活百貨
【賣貴請告知】抽繩式附透明窗無紡布鞋袋 兩種尺寸 防塵袋 鞋袋 鞋子收納袋 束口收納袋 旅行收納袋 無紡布 (附發票)	生活百貨
極品金萱	飲料沖泡
潔夫人30格收納盒三層(特大號).可拆三層.多功能小汽車收納盒.積木收納盒	其他消費
【台灣出貨免運】桌角防護墊 桌角防撞嬰居家防護墊防撞條矽膠墊 居家安全 防撞護角 防護墊 防撞桌腳 桌墊 佈置 裝飾	生活百貨
673651@PANASONIC EVOLTA電池3號8+2	生活百貨
防水夾鏈識別證袋橫式(10入)	生活百貨
M9704日式椅腳套-4入	傢俱寢飾
沛羅尼330ml(鋁罐)	其他消費
代收代付 - 《花花創意会社》外流。維尼玩樂黃摺疊大購物袋尼龍採購好攜帶【H7047】	其他消費
附襯墊經典跑步短版上衣 - 灰色 XL	服飾與配件精品
【SOMETHING】質感素雅圓領T恤-女款(黑藍色)	服飾與配件精品
獎金手續費(01/29)	其他消費
3M Cyst FF 濾心	鍋具.廚具.濾水
(上下)兩格紙便當盒125入(4)	鍋具.廚具.濾水
4006387110826【德國BRITA】好水講究超值限量組 (共5芯) 加贈500ml保溫瓶	書籍
資生堂紅妍驚豔大容量組2003	美容沐浴
芳樟10ML	居家清潔
台灣黑熊熨燙刺繡	傢俱寢飾
Baby創意學習磁性畫板 畫板桌 兒童磁性畫板 寫字板 積木桌 畫板書桌 8340	生活百貨
迪士尼 口罩掛繩	居家清潔
【台灣現貨】  台灣製 優質 黑白 手工 縫紉車 縫線 專用 單輪 雙輪 單入	其他消費
Low逼 馬告啤酒(大)	菸/酒
美食家葵花油2公升/罐	食品雜貨
擂茶拿鐵	餐飲消費
台灣有機-有機鮮香菇	食品雜貨
磁吸紙巾盒	傢俱寢飾
恆安-車用尿素(華通)	交通
小厚卡/CAT CAT#25801	3C電子/配件
滿面香 麻糬芝麻銀三角(4顆入)	其他消費
餐桌隔熱墊 (4入)	傢俱寢飾
!Kindee-金蝶香茅精油防蚊手環-閃電麥坤	居家清潔
日本Sanka squ+可堆疊收納盒L-透明	生活百貨
a4多功能用紙80gsm(大紅)40入	生活百貨
水協韓國辣拌明太魚腸小菜300g	食品雜貨
(NT)*華元真魷味(紅燒)12g	零食點心
【台灣批發24H出貨】青蛙燈 營釘燈 營燈 LED扣環掛繩燈 露營用品 營繩燈 帳篷燈 露營 戶外【CP005】	戶外休閒
Beginning Digital Image Proces	3C電子/配件
三井三溫糖(原)F 1kg	零食點心
代收-岡本003RF衛生套(10入)	大型家電/視聽影音
680雄獅雙頭油性奇異筆-黑	生活百貨
T8 6W LED燈/白光	生活百貨
小飄香魯肉	泡麵罐頭
CatFeet咪嚕肉塊30g(雞肉+離胺酸+化毛)	寵物
Aji養生大判餅-亞麻籽	零食點心
蘇澳-極鮮赤鯮(特大)300-350g(加價購)	泡麵罐頭
test	生活百貨
304蒸架大	鍋具.廚具.濾水
筆樂kc3409造型打孔機-傘型#24	生活百貨
【GOLD SUITE】無所不遮光感限量粉餅7件組(加贈閃亮手拿包)	美容沐浴
幫寶適巧虎安睡褲XXL 26片/4**C	嬰幼兒與孕婦
工業風簡約床邊桌 附輪 可移動 ㄈ型桌 筆電桌(大理石紋 木紋)	傢俱寢飾
碧玉閣兌換券	大型家電/視聽影音
眼鏡零件配件任選	戶外休閒
583931@PS經典素色短袖襯衫 白 16	服飾與配件精品
牛腩飯套餐	餐飲消費
杜瓦啤酒	菸/酒
貝納頌重乳拿鐵375ml	飲料沖泡
艾許餐包1顆	餐飲消費
迪士尼愛麗絲柴郡貓圖案帆布袋	戶外休閒
桂花香炒波士頓龍蝦	生鮮冷藏
A07 (飾品)-可拆開小環接雙B子母耳環.1色 5/3-耳環-金	其他消費
雪月花 朧夜 燒物皿	鍋具.廚具.濾水
CKI0916(10)-1450黑格子褲裙(5)	服飾與配件精品
水槽防濺水擋板-附吸盤(一片入)	鍋具.廚具.濾水
Love	生活百貨
有心肉舖子黃金鴕鳥/ 鴕鳥菲力肉排	其他消費
薑汁豬肉丼飯	其他消費
挪亞咖啡	飲料沖泡
HA5811	其他消費
UNT 玩美持色指甲油-LJ098 蕾絲煙圈 15ml│UNT官方旗艦店	美容沐浴
C 農心頂級辛拉麵(黑色) 130g	泡麵罐頭
布美勞不織布自30x30cmA28黑15元	戶外休閒
烤全雞/隻	其他消費
機車緩衝氣囊(充氣)	戶外休閒
香卡-B	餐飲消費
純銀墜含鍊 PS8014 跳舞石系列 心相伴 鍍玫/銀雙色	其他消費
理-0610全面修護護手霜50ML	美容沐浴
海鹽奶霜抹茶	餐飲消費
BK-實現:達成目	書籍
Stokke 529701 Munch 餐具套組	鍋具.廚具.濾水
黑松FIN補給飲料 975ml 2021-10-03 i3pg-9589	飲料沖泡
The Heroine Bra(黑-M)	生活百貨
氣泡袋5號 3入包	飲料沖泡
利百代不沾黏鈦銳利剪刀7吋	鍋具.廚具.濾水
卡賀沙琪瑪400	零食點心
4589435521138【BGM】裝飾框散裝金箔和紙貼紙包 ‧文具	生活百貨
時蔬青菜	生鮮冷藏
0520收單-南薑蜜煉金棗	其他消費
辣味包干	生鮮冷藏
18869 V1	3C電子/配件
棉生揚	生鮮冷藏
H34552~毛拔組(平+斜)2支入	其他消費
【桃花源創意工坊】玄關鑰匙收納擺件置物架創意客廳進門黑胡桃木鑰匙桌面收納盒(家具)	傢俱寢飾
海昌美麗秘密長效保濕隱形眼鏡潤濕液 10ml	美妝護理
冰凍頂烏龍	餐飲消費
宏銘星光彩岩水果糖	零食點心
鐵抹刀-8寸	鍋具.廚具.濾水
35元樂事奇多家常起司	零食點心
九鬼二度焙煎芝麻	其他消費
XL.甘蔗青	其他消費
46733042 格紋短袖長版襯衫-女 (橘紅格 - M)	服飾與配件精品
A8綠奶	餐飲消費
休閒雙口袋抽繩輕薄夾克外套	服飾與配件精品
蔥肉	其他消費
開票手續費(麗質沙龍時尚館)	生活百貨
日曬拉麵	食品雜貨
獅王植物物語洗面乳-潔淨130g	美容沐浴
新東陽無糖肉鬆蛋捲單包	零食點心
透抽(已處理)	生鮮冷藏
百樂 SPF-12 魔擦印章 - 幸運草	生活百貨
烏龍綠(M)	飲料沖泡
蜜妮抗痘調理洗面乳100g	美容沐浴
"翊祥16""鬼滅之刃炭治郎"	生活百貨
AIUEO Postcard/ UB-cone	生活百貨
流心黃金奶皇包(冷藏)	冷凍食品
90元盒子費	餐飲消費
瑞隆棒棒冰－葡萄／單支	零食點心
13.酥炸鮮魚丼	冷凍食品
松子翡翠菜飯	餐飲消費
綜合餃拼盤	餐飲消費
SAMPO聲寶100公升一級能效雙門冰箱SR-B10G	大型家電/視聽影音
嵌入式接地插座	生活百貨
K032標休閒飛碟佯裝(卡其/白)$555	其他消費
肯亞 加薩希 AA TOP	飲料沖泡
【Wacoal 華歌爾】Good Fit 記形 M-LL中低腰平口褲 搭配內褲-VS2369NM(幽靜藍)	服飾與配件精品
右後避震器筒芯	戶外休閒
克潮靈吊掛式除濕袋(晨露香氛) 200g2入	居家清潔
御前上茶-水出煎茶買一送一	其他消費
生鮮冷凍品一批(2652084)	其他消費
50K上翻空白筆記柑仔店	生活百貨
梨卡-秋冬新款保暖圍巾-秋冬新款氣質大披肩女款防風圍巾純色仿羊絨針織保暖圍巾P009【現貨24H】	嬰幼兒與孕婦
15oz-極嫩肩牛	其他消費
【台灣現貨×免運費×附發票】亞麻拖鞋 室內拖鞋 拖鞋 男女拖鞋	服飾與配件精品
葡記迷你小鳳酥560g	零食點心
速必效螞蟻凝膠餌寶-A	居家清潔
草本入浴劑-補充	美容沐浴
水潤專科保濕化粧水滋潤型200ml	美容沐浴
伍柳時鮮	餐飲消費
[原廠授權經銷] Samsung Galaxy Tab S5e T720 原廠書本式鍵盤皮套	3C電子/配件
麥斯蘭姆酒0.75L	菸/酒
經典拿鐵(H)	餐飲消費
身體的秘密：眼睛寶寶亮晶晶(精裝)(免稅)	書籍
日本製刻度4P 保存容器 R	鍋具.廚具.濾水
香菜(田尾)	生鮮冷藏
原味小窩仔	餐飲消費
6941448621997Molly茉莉女孩 美食派對系列公仔盒玩(單入隨機款)	其他消費
依多小舖 - 艾杜紗 超親膚溫和防曬精華乳 1.5ml 全新	美容沐浴
九越－奶泡貓絨毛筆	生活百貨
代收-Nutri Plus Gel® 克補營養軟膏	食品雜貨
預收貨款	其他消費
大魯肉飯 2021-06-27 y2xq-rvtk	其他消費
（限）草莓鑰匙圈有色	生活百貨
多喝水６００ｃｃ	飲料沖泡
XXL 嗜血童話．抓皺蕾絲中腰三角內褲	服飾與配件精品
海苔絲	零食點心
[N次貼] 3X2 螢光透明便條(白)-66540白	生活百貨
白兔	其他消費
花呆	生活百貨
ZEAL天然100%-羊耳朵125g	寵物
HP CB543A 原廠紅色碳粉匣-網	3C電子/配件
冰無糖紅-中	餐飲消費
天和野生海蘆蝦仁(大)	其他消費
Bogazy 簡易格調 18吋登機箱(玫瑰金)	戶外休閒
merci手提紙袋-中	生活百貨
愛玉特價	餐飲消費
楊枝甘露雪糕飲★	冷凍食品
UB滿足套餐	餐飲消費
橘子工坊活力去漬粉	居家清潔
衣架 浸塑衣架 防滑衣架 曬衣架 乾溼衣架 多功能衣架 顏色隨機出貨【台灣現貨滿額免運】關注我們現領折價卷 艾尚好購物	生活百貨
３Ｍ安全櫥櫃鎖	生活百貨
香脆筍450g*12入	泡麵罐頭
叉型鐵槌(中)-SC997	鍋具.廚具.濾水
翠玉金萱M	生活百貨
現貨 TAKARA TOMY精靈寶可夢 甲賀忍蛙 小智忍蛙 公仔 神奇寶貝 日本正版 MS-08 開發票	其他消費
石榴潽洱	食品雜貨
安裝主機工資	3C電子/配件
【0272019299】黑松沙士2公升	飲料沖泡
柔舒水洗棉枕套/50/淺米	傢俱寢飾
活-沁心烏龍冷泡(瓶)(一般)	飲料沖泡
French Fries   薯條	餐飲消費
紐西蘭板腱牛火鍋片	生鮮冷藏
373180@YG純棉U領長袖衫XL	服飾與配件精品
多色甜心價高領衣-黑	服飾與配件精品
無痕隔板置物支撐貼片 角架螺絲台灣在地附發票【好家在購物】無痕貼 無痕置物架 角架墊片 木板墊片 取代螺絲	傢俱寢飾
阿華有事嗎AUHA  韓系女裝配件 復古燈心絨素色髮圈 E0010 少女襪 韓妞必備長襪 百搭純棉襪	飲料沖泡
管家熊環保清潔袋(特大)3入	居家清潔
44237064 極輕羽絨立領外套-女 (黑色 - XL)	服飾與配件精品
什貨生活	傢俱寢飾
50771024 牛津長袖襯衫-男 (藍色 - XL)	服飾與配件精品
元氣-米香細切條155G	寵物
插座防塵保護蓋	生活百貨
波爾多上梅多克墨哈	菸/酒
塔香淡菜	其他消費
【點數加倍】0702火龍果翡翠(L)跟著邱老闆一起喝	其他消費
小米米家智能攝影機大眾版	3C電子/配件
6入2 亮蔥星星吊	美容沐浴
沛綠雅氣泡天然礦泉水250ML罐	飲料沖泡
DR.WU玻尿酸保濕水凝露30M	美容沐浴
X米粉束短毛$10元-粉	服飾與配件精品
碎花抽繩短裙(內裡褲型)(霧粉橘-S)	服飾與配件精品
9.炸豆腐	生鮮冷藏
The Expression Amrilato	餐飲消費
能量飲料經典藍色	飲料沖泡
hii愛游 充電隨行卡 蘋果MFI認證版 全球首款 - iPhone12 蘋果 安卓 支架 轉接頭 雙線快充【充電最強】	3C電子/配件
U102現貨/韓系/乾杯印花/酒杯/可愛/短袖上衣/基本款/韓妞必備/短袖T袖/2021/棉T/學院風/ins/質感	鍋具.廚具.濾水
海尼根啤酒-330ml	菸/酒
黑松沙士 600ml*4 2021-05-06 d4dy-rjjp	飲料沖泡
依必朗-心之花園系列-衣物香氛袋 蘭花馨香*3入	嬰幼兒與孕婦
日貨 帆布袋 角落生物 米奇 奇蒂 美樂蒂 三眼怪 小美人魚 皮卡丘 柯南 維尼 愛麗絲 雪寶 KT 手提袋 S78	生活百貨
日本獅王沛醫亞淨痘調理洗面乳	美容沐浴
蜜妮  清透極淨    洗面乳	美容沐浴
代收代付 - 休閒褲 秋冬加絨加厚羊羔絨休閒運動褲女學生韓版哈倫褲運動衛褲百搭休閒褲女潮 韓菲兒	服飾與配件精品
Regoton 機能型工裝背心	服飾與配件精品
男式針織衫:BRIGHT PEACOCK:L	服飾與配件精品
台糖75%防疫酒精350ml	食品雜貨
華元-蚵仔煎抗漲回饋包4包入(6)	零食點心
套餐-大麥克 Big Mac Meal 2021-06-04 sehj-9a4h	餐飲消費
寶寶食堂 甘薯仙貝 19G	零食點心
紅肉火龍果(台灣)	零食點心
U菠蘿	餐飲消費
T.G.雪莉桶麥芽威士忌	菸/酒
銀貓罐(起司)	寵物
佳斯捷醬太郎果汁瓶	鍋具.廚具.濾水
茄萣虱目魚丸	冷凍食品
新萬仁 免螞煩殺蟻堡 3粒/盒	居家清潔
Lotso 勞蘇【現貨】小白鞋清潔 球鞋濕紙巾 擦鞋 擦鞋濕紙巾 白鞋清潔 運動鞋清潔濕巾 擦鞋濕巾 擦鞋紙巾	居家清潔
美妝刷	其他消費
懶人拖地鞋套【小麥購物】24H出貨台灣現貨【G025】懶人鞋拖 拖地 懶人拖 懶人鞋套 拖地鞋套 鞋套 清潔套 拖把鞋套	戶外休閒
foodpanda B餐 2021-06-24 n13i-4dwe	餐飲消費
【ZWILLING 德國雙人】Now 日式主廚刀-18cm 石榴紅	鍋具.廚具.濾水
賀氏 經典原味蝴	食品雜貨
Nutri-Vet 寵達特 犬用防傷口舔咬噴劑 2oz(59ml) 可超取 (J001E21)	寵物
